Type,name,Score,Metric
Bottom,,,PK
Bottom,Max Aarons,0.0,PK
Bottom,Tyler Adams,0.0,PK
Bottom,Tosin Adarabioyo,0.0,PK
,,,
Top,,,PKatt.1
Top,Cole Palmer,9.0,PKatt.1
Top,Erling Haaland,8.0,PKatt.1
Top,Mohamed Salah,7.0,PKatt.1
,,,
Bottom,,,PKatt.1
Bottom,Max Aarons,0.0,PKatt.1
Bottom,Tyler Adams,0.0,PKatt.1
Bottom,Tosin Adarabioyo,0.0,PKatt.1
,,,
Top,,,xG_shooting
Top,Erling Haaland,29.2,xG_shooting
Top,Mohamed Salah,21.2,xG_shooting
Top,Alexander Isak,20.3,xG_shooting
,,,
Bottom,,,xG_shooting
Bottom,Max Aarons,0.0,xG_shooting
Bottom,Tyler Adams,0.0,xG_shooting
Bottom,Alisson,0.0,xG_shooting
,,,
Top,,,npxG_shooting
Top,Erling Haaland,22.9,npxG_shooting
Top,Nicolas Jackson,18.6,npxG_shooting
Top,Dominic Solanke,17.2,npxG_shooting
,,,
Bottom,,,npxG_shooting
Bottom,Max Aarons,0.0,npxG_shooting
Bottom,Tyler Adams,0.0,npxG_shooting
Bottom,Alisson,0.0,npxG_shooting
,,,
Top,,,G-xG
Top,Phil Foden,8.7,G-xG
Top,Callum Hudson-Odoi,5.3,G-xG
Top,Jean-Philippe Mateta,5.1,G-xG
,,,
Bottom,,,G-xG
Bottom,Dominic Calvert-Lewin,-5.9,G-xG
Bottom,Brennan Johnson,-5.3,G-xG
Bottom,Darwin Núñez,-5.3,G-xG
,,,
Top,,,np:G-xG
Top,Phil Foden,8.7,np:G-xG
Top,Callum Hudson-Odoi,5.3,np:G-xG
Top,Diogo Jota,4.7,np:G-xG
,,,
Bottom,,,np:G-xG
Bottom,Dominic Calvert-Lewin,-6.4,np:G-xG
Bottom,Brennan Johnson,-5.3,np:G-xG
Bottom,Nicolas Jackson,-4.6,np:G-xG
,,,
Top,,,Pass_Cmp
Top,Rodri,3365.0,Pass_Cmp
Top,Lewis Dunk,2977.0,Pass_Cmp
Top,Pascal Groß,2774.0,Pass_Cmp
,,,
Bottom,,,Pass_Cmp
Bottom,Leon Chiwome,19.0,Pass_Cmp
Bottom,Neal Maupay,22.0,Pass_Cmp
Bottom,Alex Iwobi,27.0,Pass_Cmp
,,,
Top,,,Pass_Att
Top,Rodri,3656.0,Pass_Att
Top,Lewis Dunk,3233.0,Pass_Att
Top,Pascal Groß,3223.0,Pass_Att
,,,
Bottom,,,Pass_Att
Bottom,Leon Chiwome,22.0,Pass_Att
Bottom,Neal Maupay,26.0,Pass_Att
Bottom,Hannibal Mejbri,38.0,Pass_Att
,,,
Top,,,Pass_Cmp%
Top,Thiago Silva,94.7,Pass_Cmp%
Top,David Ozoh,94.1,Pass_Cmp%
Top,Mateo Kovačić,94.0,Pass_Cmp%
,,,
Bottom,,,Pass_Cmp%
Bottom,Ivo Grbić,49.7,Pass_Cmp%
Bottom,William Osula,52.7,Pass_Cmp%
Bottom,Ivan Toney,53.5,Pass_Cmp%
,,,
Top,,,TotDist
Top,Rodri,57256.0,TotDist
Top,Lewis Dunk,50791.0,TotDist
Top,Virgil van Dijk,49290.0,TotDist
,,,
Bottom,,,TotDist
Bottom,Leon Chiwome,244.0,TotDist
Bottom,Kieffer Moore,272.0,TotDist
Bottom,Neal Maupay,353.0,TotDist
,,,
Top,,,PrgDist
Top,Jordan Pickford,26388.0,PrgDist
Top,Mark Flekken,22385.0,PrgDist
Top,Thomas Kaminski,22188.0,PrgDist
,,,
Bottom,,,PrgDist
Bottom,Neal Maupay,14.0,PrgDist
Bottom,Nathan Fraser,45.0,PrgDist
Bottom,Leon Chiwome,59.0,PrgDist
,,,
Top,,,Short_Cmp
Top,Rodri,1676.0,Short_Cmp
Top,Pascal Groß,1583.0,Short_Cmp
Top,Lewis Dunk,1343.0,Short_Cmp
,,,
Bottom,,,Short_Cmp
Bottom,Thomas Strakosha,6.0,Short_Cmp
Bottom,Mark Travers,10.0,Short_Cmp
Bottom,Leon Chiwome,12.0,Short_Cmp
,,,
Top,,,Short_Att
Top,Rodri,1774.0,Short_Att
Top,Pascal Groß,1674.0,Short_Att
Top,Lewis Dunk,1382.0,Short_Att
,,,
Bottom,,,Short_Att
Bottom,Thomas Strakosha,6.0,Short_Att
Bottom,Mark Travers,10.0,Short_Att
Bottom,Leon Chiwome,13.0,Short_Att
,,,
Top,,,Short_Cmp%
Top,Daniel Bentley,100.0,Short_Cmp%
Top,Łukasz Fabiański,100.0,Short_Cmp%
Top,Ivo Grbić,100.0,Short_Cmp%
,,,
Bottom,,,Short_Cmp%
Bottom,William Osula,58.9,Short_Cmp%
Bottom,Youssef Chermiti,59.4,Short_Cmp%
Bottom,Ivan Toney,61.6,Short_Cmp%
,,,
Top,,,Medium_Cmp
Top,Virgil van Dijk,1343.0,Medium_Cmp
Top,Lewis Dunk,1340.0,Medium_Cmp
Top,William Saliba,1298.0,Medium_Cmp
,,,
Bottom,,,Medium_Cmp
Bottom,Kieffer Moore,4.0,Medium_Cmp
Bottom,Leon Chiwome,6.0,Medium_Cmp
Bottom,Maxwel Cornet,6.0,Medium_Cmp
,,,
Top,,,Medium_Att
Top,Lewis Dunk,1417.0,Medium_Att
Top,Virgil van Dijk,1412.0,Medium_Att
Top,William Saliba,1373.0,Medium_Att
,,,
Bottom,,,Medium_Att
Bottom,Leon Chiwome,6.0,Medium_Att
Bottom,Maxwel Cornet,8.0,Medium_Att
Bottom,Kieffer Moore,8.0,Medium_Att
,,,
Top,,,Medium_Cmp%
Top,Daniel Bentley,100.0,Medium_Cmp%
Top,Leon Chiwome,100.0,Medium_Cmp%
Top,Łukasz Fabiański,100.0,Medium_Cmp%
,,,
Bottom,,,Medium_Cmp%
Bottom,William Osula,40.0,Medium_Cmp%
Bottom,Rhian Brewster,45.5,Medium_Cmp%
Bottom,Dominic Calvert-Lewin,49.5,Medium_Cmp%
,,,
Top,,,Long_Cmp
Top,Jordan Pickford,461.0,Long_Cmp
Top,Mark Flekken,394.0,Long_Cmp
Top,Thomas Kaminski,362.0,Long_Cmp
,,,
Bottom,,,Long_Cmp
Bottom,Maxwel Cornet,0.0,Long_Cmp
Bottom,Nathan Fraser,0.0,Long_Cmp
Bottom,Tim Iroegbunam,0.0,Long_Cmp
,,,
Top,,,Long_Att
Top,Jordan Pickford,1031.0,Long_Att
Top,Thomas Kaminski,937.0,Long_Att
Top,Mark Flekken,832.0,Long_Att
,,,
Bottom,,,Long_Att
Bottom,Nathan Fraser,0.0,Long_Att
Bottom,Tim Iroegbunam,0.0,Long_Att
Bottom,Kieffer Moore,0.0,Long_Att
,,,
Top,,,Ast
Top,Ollie Watkins,13.0,Ast
Top,Cole Palmer,11.0,Ast
Top,Kevin De Bruyne,10.0,Ast
,,,
Bottom,,,Ast
Bottom,Tyler Adams,0.0,Ast
Bottom,Tosin Adarabioyo,0.0,Ast
Bottom,Elijah Adebayo,0.0,Ast
,,,
Top,,,xAG.1
Top,Bruno Fernandes,11.8,xAG.1
Top,Son Heung-min,11.8,xAG.1
Top,Mohamed Salah,11.8,xAG.1
,,,
Bottom,,,xAG.1
Bottom,Naouirou Ahamada,0.0,xAG.1
Bottom,Alisson,0.0,xAG.1
Bottom,Mads Juel Andersen,0.0,xAG.1
,,,
Top,,,xA
Top,Martin Ødegaard,11.2,xA
Top,Bukayo Saka,11.0,xA
Top,Bruno Fernandes,10.2,xA
,,,
Bottom,,,xA
Bottom,Tyler Adams,0.0,xA
Bottom,Alisson,0.0,xA
Bottom,Mads Juel Andersen,0.0,xA
,,,
Top,,,A-xAG
Top,Ollie Watkins,5.7,A-xAG
Top,Rodri,5.1,A-xAG
Top,Pedro Neto,4.6,A-xAG
,,,
Bottom,,,A-xAG
Bottom,Dejan Kulusevski,-4.7,A-xAG
Bottom,Bruno Fernandes,-3.8,A-xAG
Bottom,Dominik Szoboszlai,-3.8,A-xAG
,,,
Top,,,KP
Top,Bruno Fernandes,114.0,KP
Top,Pascal Groß,103.0,KP
Top,Martin Ødegaard,102.0,KP
,,,
Bottom,,,KP
Bottom,Mads Juel Andersen,0.0,KP
Bottom,Jaidon Anthony,0.0,KP
Bottom,Alphonse Areola,0.0,KP
,,,
Top,,,1/3
Top,Rodri,378.0,1/3
Top,Pascal Groß,242.0,1/3
Top,Declan Rice,240.0,1/3
,,,
Bottom,,,1/3
Bottom,Maxwel Cornet,0.0,1/3
Bottom,Lewis Dobbin,0.0,1/3
Bottom,Nathan Fraser,0.0,1/3
,,,
Top,,,PPA
Top,Martin Ødegaard,130.0,PPA
Top,Bruno Fernandes,89.0,PPA
Top,Pascal Groß,73.0,PPA
,,,
Bottom,,,PPA
Bottom,Tyler Adams,0.0,PPA
Bottom,Naouirou Ahamada,0.0,PPA
Bottom,Alisson,0.0,PPA
,,,
Top,,,CrsPA
Top,Pascal Groß,27.0,CrsPA
Top,Antonee Robinson,26.0,CrsPA
Top,Alfie Doughty,24.0,CrsPA
,,,
Bottom,,,CrsPA
Bottom,Tyler Adams,0.0,CrsPA
Bottom,Tosin Adarabioyo,0.0,CrsPA
Bottom,Elijah Adebayo,0.0,CrsPA
,,,
Top,,,PrgP.1
Top,Rodri,376.0,PrgP.1
